state,abbreviation,adjusted_pay_2018,Actual_pay_2020,actual_pay_2018,strike2018_2019,population2018,percent_union2018,log_pop,division,div_name,pct_white_2012,SatScore,SatReading,SatMath,clinton_votes_2016,pct_clinton_2016,clinton_electoral_2016,trump_votes_2016,pct_trump_2016,trump_electoral_2016,biden_votes_2020,pct_biden_2020,biden_electoral_2020,trump_votes_2020,pct_trump_2020,trump_electoral_2020,vax_rate,urban_2020,GINI_2019,pct_religious,pct_hs_diploma,pct_bach_deg,pct_advanced_deg,viol_crime_per_100k,alcohol_deaths_100k,drug_overdose_per_100k,suicides_per_100k
Maryland,MD,60937,73444,66482,0,6042718,12.1,6.781232327,5,South_Atlantic,0.538,1060,536,524,1677928,60.33,10,943169,33.91,0,1985023,0.6536,10,976414,0.3215,0,0.5856,0.856,0.4558,0.67,0.9109,0.4855,0.2416,398.5,41.0742318,40.3,9.5
Massachusetts,MA,63938,83622,76981,0,6902149,14.5,6.83898433,1,New_England,0.753,1107,555,551,1995196,60.01,11,1090893,32.81,0,2382202,0.656,11,1167202,0.3214,0,0.6789,0.913,0.4803,0.75,0.961,0.5062,0.2827,322,39.9875459,37.4,8.3
Michigan,MI,71773,62185,63878,0,9995915,15.4,6.999822554,3,East_North_Central,0.761,1005,509,495,2268839,47.27,0,2279543,47.5,16,2804040,0.5062,16,2649852,0.4784,0,0.4956,0.735,0.4634,0.78,0.9196,0.3167,0.1248,461,45.4985862,30.7,14.7
Minnesota,MN,59779,58663,56910,0,5611179,16,6.749054123,4,West_North_Central,0.823,1295,644,651,1367716,46.44,10,1322951,44.92,0,1717077,0.524,10,1484065,0.4528,0,0.5519,0.719,0.4434,0.89,0.9413,0.389,0.134,280.6,37.1045016,24.8,14.8
Mississippi,MS,52000,45192,52744,0,2986530,7.1,6.475166882,6,East_South_Central,0.575,1242,634,607,485131,40.11,0,700714,57.94,6,539398,0.4106,0,756764,0.576,6,0.3472,0.463,0.4896,0.79,0.8649,0.2478,0.0935,245,45.9396021,27.6,14
Missouri,MO,53642,50817,47849,0,6126452,10.6,6.787209035,4,West_North_Central,0.805,1271,640,631,1071068,38.14,0,1594511,56.77,10,1253014,0.4141,0,1718736,0.568,10,0.4286,0.695,0.4633,0.7,0.9159,0.3172,0.1224,488,46.9602961,36.9,19.1
Montana,MT,54426,52135,51215,0,1062305,14,6.026249226,8,Mountain,0.872,1196,605,591,177709,35.75,0,279240,56.17,3,244786,0.4055,0,343602,0.5692,3,0.4619,0.534,0.4597,0.8,0.9435,0.348,0.1245,417.9,56.9516288,19.4,28.7
Nebraska,NE,56756,55267,51364,0,1929268,8,6.285392561,4,West_North_Central,0.813,1253,629,625,284494,33.7,0,495961,58.75,5,374583,0.3917,1,556846,0.5822,4,0.4919,0.73,0.44,0.71,0.9216,0.3445,0.1228,282.8,37.3198540,11.8,15.6
Nevada,NV,57402,56672,56943,0,3034392,15.7,6.482071685,8,Mountain,0.527,1116,563,553,539260,47.5,6,512058,45.98,0,703486,0.5006,6,669890,0.4767,0,0.4664,0.941,0.471,0.64,0.8716,0.2757,0.0964,454,51.0151622,30.3,21
New Hampshire,NH,51445,60003,58802,0,1356458,11.6,6.132406351,1,New_England,0.918,1052,532,520,348526,46.98,4,345790,46.61,0,424937,0.5271,4,365660,0.4536,0,0.6078,0.583,0.4406,0.81,0.9444,0.4098,0.1572,125.6,48.7298538,36,16.6
